Municipality,Applicant.ID,lat,lon
Akaa,15,61.1677426,23.8673385
AlajÃ¤rvi,20,63.0,23.8159
Alavieska,5,64.1653,24.3077
Alavus,9,62.5864,23.6186
Asikkala,20,61.1720359,25.5470288
Askola,11,60.5304007,25.5978524
Espoo,2173,60.2052348,24.6540815
Eura,5,61.1301313,22.1382636
Eurajoki,15,61.2022827,21.7339116
Forssa,23,60.8127829,23.6216313
HaapajÃ¤rvi,9,63.748644,25.3181
Hamina,31,60.5692,27.1938
Hanko,18,59.8231033,22.9692927
Harjavalta,7,61.3137,22.1413
Hattula,18,61.0555231,24.3710101
HausjÃ¤rvi,9,60.7861525,25.0260244
Heinola,48,61.2029133,26.0338713
Helsinki,5967,60.1698081,24.9381283
Hollola,41,60.9887289,25.5164252
Huittinen,8,61.1780122,22.6987968
HyvinkÃ¤Ã¤,164,60.6330168,24.860215
HÃ¤meenkyrÃ¶,14,0.0,0.0
HÃ¤meenlinna,167,60.9960077,24.4642326
Ii,8,19.8203622,-99.7639923
Iisalmi,17,63.5591601,27.1929789
Iitti,11,60.8892158,26.3381725
Ikaalinen,6,61.770196,23.0643462
Ilmajoki,20,62.7313,22.5796
Imatra,43,61.1713067,28.7665958
Inari,18,68.905761,27.030464
Inkoo,21,60.0458774,24.0045903
IsokyrÃ¶,13,0.0,0.0
Janakkala,35,60.918813,24.6487088
Joensuu,196,62.6009889,29.763534
Jokioinen,9,60.8037723,23.4860686
Juva,11,61.8975296,27.8576272
JyvÃ¤skylÃ¤,526,62.2425592,25.7475039
JÃ¤msÃ¤,25,0.0,0.0
JÃ¤rvenpÃ¤Ã¤,197,0.0,0.0
Kaarina,81,60.4071684,22.3682587
Kajaani,48,64.226472,27.7271337
Kalajoki,8,64.257122,23.948418
Kangasala,63,61.4636081,24.0730182
KankaanpÃ¤Ã¤,31,61.8028,22.3952
Karkkila,14,60.534137,24.2105982
Kauhajoki,23,62.4235,22.1758
Kauhava,31,63.1011,23.065
Kauniainen,77,60.2099301,24.7275808
Kemi,28,65.7353803,24.5616651
Keminmaa,12,65.8012704,24.5450249
KemiÃ¶nsaari,5,60.1648423,22.7275348
Kempele,32,64.9134483,25.5042416
Kerava,166,60.4032146,25.1048013
Keuruu,11,62.2591,24.7078
Kirkkonummi,207,60.1242611,24.4382305
Kitee,13,62.1008748,30.1362496
KittilÃ¤,6,67.6533,24.9126
Kiuruvesi,6,63.6525107,26.6134802
KokemÃ¤ki,9,61.256436,22.357216
Kokkola,87,63.838501,23.130577
Kontiolahti,26,62.7643,29.8474
Kotka,165,60.4666265,26.9460064
Kouvola,180,60.867903,26.7040491
Kristiinankaupunki,8,62.2741203,21.377194
Kruunupyy,5,63.7279,23.0337
Kuopio,213,62.8933163,27.679428
Kuortane,5,62.8069,23.5068
Kurikka,21,62.6171681,22.3984598
Kuusamo,26,65.9645,29.1888
